ID Buku,NIK,Nama,Tanggal Pinjam,Tanggal Kembali,Catatan,Perpanjangan
1,1234567890,Ali,2025-02-12 14:14:55.986512,,,0
2,0987654321,Budi,2025-02-14 14:14:55.986535,2025-02-17 14:14:55.986536,Bagus,1
3,1122334455,Citra,2025-02-15 14:14:55.986537,,,0
4,2233445566,Dedi,2025-02-11 14:14:55.986539,,,1
5,3344556677,Eka,2025-02-16 14:14:55.986540,,,0
6,4455667788,Farhan,2025-02-10 14:14:55.986543,2025-02-17 14:14:55.986544,Kondisi baik,0
7,5566778899,Gina,2025-02-13 14:14:55.986545,,,0
8,6677889900,Hadi,2025-02-12 14:14:55.986546,,,1
9,7788990011,Indah,2025-02-14 14:14:55.986548,,,0
10,8899001122,Joko,2025-02-09 14:14:55.986549,2025-02-17 14:14:55.986550,Sampul agak rusak,1
